Tube,TechnicalReplicate,TimeLapse,Fraction,PlateletCount,PlateletCountPrct,TubeType,Donor,BiologicalReplicate,GraphTube
Paxgene,TUBE3,T72,WB,141,1,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T72,PRP,399,2.5253,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T72,PRP,276,0.9857,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T72,PRP,183,1.2979,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T72,PPP,177,1.1203,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T72,PPP,120,0.4286,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T72,PPP,97,0.6879,Preservation,EC0027,DONOR5,BCCFDT
Paxgene,TUBE1,T72,PFP,38,0.2405,Preservation,EC0028,DONOR6,BCCFDT
Paxgene,TUBE2,T72,PFP,27,0.0964,Preservation,EC0026,DONOR4,BCCFDT
Paxgene,TUBE3,T72,PFP,25,0.1773,Preservation,EC0027,DONOR5,BCCFDT
RNA Streck,TUBE1,T0,WB,395,1,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T0,WB,163,1,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T0,WB,220,1,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T0,PRP,301,0.762,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T0,PRP,154,0.9448,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T0,PRP,121,0.55,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T0,PPP,80,0.2025,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T0,PPP,22,0.135,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T0,PPP,27,0.1227,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T0,PFP,6,0.0152,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T0,PFP,3,0.0184,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T0,PFP,3,0.0136,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T24,WB,449,1,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T24,WB,190,1,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T24,WB,235,1,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T24,PRP,404,0.8998,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T24,PRP,169,0.8895,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T24,PRP,229,0.9745,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T24,PPP,115,0.2561,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T24,PPP,34,0.1789,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T24,PPP,43,0.183,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T24,PFP,8,0.0178,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T24,PFP,3,0.0158,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T24,PFP,5,0.0213,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T72,WB,419,1,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T72,WB,193,1,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T72,WB,231,1,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T72,PRP,424,1.0119,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T72,PRP,274,1.4197,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T72,PRP,345,1.4935,Preservation,EC0027,DONOR5,CFRBCT
RNA Streck,TUBE1,T72,PPP,115,0.2745,Preservation,EC0028,DONOR6,CFRBCT
RNA Streck,TUBE2,T72,PPP,48,0.2487,Preservation,EC0026,DONOR4,CFRBCT
RNA Streck,TUBE3,T72,PPP,86,0.3723,Preservation,EC0027,DONOR5,CFRBCT
